'3U', '4608', 'CTU', '3395', 'ICN', '3930', '', '0', '321'
'3U', '4608', 'ICN', '3930', 'CTU', '3395', '', '0', '321'
'5J', '1683', 'CEB', '4206', 'ICN', '3930', '', '0', '320'
'5J', '1683', 'CEB', '4206', 'PUS', '2372', '', '0', '320'
'5J', '1683', 'ICN', '3930', 'CEB', '4206', '', '0', '320'
'5J', '1683', 'ICN', '3930', 'KLO', '2430', '', '0', '320'
'5J', '1683', 'ICN', '3930', 'MNL', '2397', '', '0', '330'
'5J', '1683', 'KLO', '2430', 'ICN', '3930', '', '0', '320'
'5J', '1683', 'MNL', '2397', 'ICN', '3930', '', '0', '330'
'5J', '1683', 'MNL', '2397', 'PUS', '2372', '', '0', '320'
'5J', '1683', 'PUS', '2372', 'CEB', '4206', '', '0', '320'
'5J', '1683', 'PUS', '2372', 'MNL', '2397', '', '0', '320'
'7C', '2994', 'BKK', '3885', 'ICN', '3930', '', '0', '737'
'7C', '2994', 'BKK', '3885', 'PUS', '2372', '', '0', '737'
'7C', '2994', 'CEB', '4206', 'ICN', '3930', '', '0', '737'
'7C', '2994', 'CEB', '4206', 'PUS', '2372', '', '0', '737'
'7C', '2994', 'CJJ', '6008', 'CJU', '2370', '', '0', '737'
'7C', '2994', 'CJU', '2370', 'CJJ', '6008', '', '0', '737'
'7C', '2994', 'CJU', '2370', 'GMP', '2378', '', '0', '737'
'7C', '2994', 'CJU', '2370', 'PUS', '2372', '', '0', '737'
'7C', '2994', 'FUK', '2305', 'ICN', '3930', '', '0', '737'
'7C', '2994', 'GMP', '2378', 'CJU', '2370', '', '0', '737 738'
'7C', '2994', 'GMP', '2378', 'KIX', '3992', '', '0', '737'
'7C', '2994', 'GMP', '2378', 'NGO', '3942', '', '0', '737'
'7C', '2994', 'GUM', '2246', 'ICN', '3930', '', '0', '737'
'7C', '2994', 'HKG', '3077', 'ICN', '3930', '', '0', '737'
'7C', '2994', 'ICN', '3930', 'BKK', '3885', '', '0', '737'
'7C', '2994', 'ICN', '3930', 'CEB', '4206', '', '0', '737'
'7C', '2994', 'ICN', '3930', 'FUK', '2305', '', '0', '737'
'7C', '2994', 'ICN', '3930', 'GUM', '2246', '', '0', '737'
'7C', '2994', 'ICN', '3930', 'HKG', '3077', '', '0', '737'
'7C', '2994', 'ICN', '3930', 'KIX', '3992', '', '0', '737'
'7C', '2994', 'ICN', '3930', 'MNL', '2397', '', '0', '737'
'7C', '2994', 'ICN', '3930', 'NGO', '3942', '', '0', '737'
'7C', '2994', 'ICN', '3930', 'NRT', '2279', '', '0', '737'
'7C', '2994', 'ICN', '3930', 'TAO', '3390', '', '0', '737'
'7C', '2994', 'KIX', '3992', 'GMP', '2378', '', '0', '737'
'7C', '2994', 'KIX', '3992', 'ICN', '3930', '', '0', '737'
'7C', '2994', 'MNL', '2397', 'ICN', '3930', '', '0', '737'
'7C', '2994', 'NGO', '3942', 'GMP', '2378', '', '0', '737'
'7C', '2994', 'NGO', '3942', 'ICN', '3930', '', '0', '737'
'7C', '2994', 'NRT', '2279', 'ICN', '3930', '', '0', '737'
'7C', '2994', 'PUS', '2372', 'BKK', '3885', '', '0', '737'
'7C', '2994', 'PUS', '2372', 'CJU', '2370', '', '0', '737'
'7C', '2994', 'TAO', '3390', 'ICN', '3930', '', '0', '737'
'8B', '17408', 'BKK', '3885', 'ICN', '3930', '', '0', '763'
'8B', '17408', 'CNX', '3931', 'ICN', '3930', '', '0', '763'
'8B', '17408', 'HKT', '3179', 'ICN', '3930', '', '0', '763'
'8B', '17408', 'ICN', '3930', 'BKK', '3885', '', '0', '763'
'8B', '17408', 'ICN', '3930', 'CNX', '3931', '', '0', '763'
'8B', '17408', 'ICN', '3930', 'HKT', '3179', '', '0', '763'
'8M', '3432', 'ICN', '3930', 'RGN', '3239', '', '0', '737 767'
'8M', '3432', 'RGN', '3239', 'ICN', '3930', '', '0', '737 767'
'9C', '15999', 'CJU', '2370', 'PVG', '3406', '', '0', '320'
'9C', '15999', 'PVG', '3406', 'CJU', '2370', '', '0', '320'
'AA', '24', 'DFW', '3670', 'ICN', '3930', '', '0', '777'
'AA', '24', 'ICN', '3930', 'DFW', '3670', '', '0', '777'
'AA', '24', 'ICN', '3930', 'NRT', '2279', '', '0', '737'
'AA', '24', 'NRT', '2279', 'ICN', '3930', '', '0', '737'
'AA', '24', 'NRT', '2279', 'PUS', '2372', '', '0', '737'
'AA', '24', 'PUS', '2372', 'NRT', '2279', '', '0', '737'
'AC', '330', 'BKK', '3885', 'ICN', '3930', 'Y', '0', '333 777'
'AC', '330', 'ICN', '3930', 'BKK', '3885', 'Y', '0', '333 777'
'AC', '330', 'ICN', '3930', 'YVR', '156', '', '0', '763'
'AC', '330', 'YVR', '156', 'ICN', '3930', '', '0', '763'
